id,first_name,last_name,username,password,email,phone_number,role_id,company_id,version,created,last_modified,is_deleted
94759f68-0be8-403e-803a-cd6b9cfa1c8f,Georgine,Welch,Georgine_Welch85182,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,georgine.welch@example.com,(219) 720-6247,1146da6d-1662-4896-b66b-2e472ae944cf,ff856774-0ccf-429b-8232-dfd84c0f6401,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
404fbb8f-02bc-4a87-8f81-3ff376318ea4,Palmer,Hintz,Palmer_Hintz39087,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,palmer.hintz@example.com,1-815-319-9715,1146da6d-1662-4896-b66b-2e472ae944cf,20cf9bea-8837-4ce6-94a3-44353caf9d4a,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
c65887c7-f3cf-454d-ad9f-7f4cf5153fd2,Carma,Mills,Carma_Mills68868,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,carma.mills@example.com,298-802-1084,1146da6d-1662-4896-b66b-2e472ae944cf,0a0bf8cc-7343-4633-8f32-ab147d875cf4,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
9f709562-a53b-46fd-a50d-79ea95230907,Esther,Haley,Esther_Haley22351,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,esther.haley@example.com,474-738-3903,1146da6d-1662-4896-b66b-2e472ae944cf,cf578fec-006b-4604-a5e8-5ad1b3ea2be5,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
f0cd7d29-2e3c-4570-98d8-219441e9f8e0,Tomasa,Klocko,Tomasa_Klocko73469,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,tomasa.klocko@example.com,692.253.0245,1146da6d-1662-4896-b66b-2e472ae944cf,a08ac822-9a5b-4b8e-bcbb-1603f0cdb729,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
ca4b41a4-4416-4465-acdc-3bf340d2031c,Billie,Braun,Billie_Braun34744,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,billie.braun@example.com,371.156.4704,1146da6d-1662-4896-b66b-2e472ae944cf,9b4b702d-41b6-4f60-8f7e-da621ae07a5c,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
b7b06e2d-d4f7-4cab-872a-3861288b5da1,Kiana,Kertzmann,Kiana_Kertzmann62597,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,kiana.kertzmann@example.com,(445) 266-0614,1146da6d-1662-4896-b66b-2e472ae944cf,9fc335b4-3a7a-41fb-a711-96e3cf3f1820,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
d5e5d773-f0fd-4e2c-9639-22e5bcab3e6a,Bradley,Jacobi,Bradley_Jacobi68127,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,bradley.jacobi@example.com,(535) 784-9031,1146da6d-1662-4896-b66b-2e472ae944cf,9fc335b4-3a7a-41fb-a711-96e3cf3f1820,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
a5cb9e8c-a9cb-4657-b1e4-1dec8bcdf997,Davis,Leannon,Davis_Leannon38460,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,davis.leannon@example.com,1-022-788-1687,1146da6d-1662-4896-b66b-2e472ae944cf,b4b334ab-3a74-41a7-8ed4-92af77ea648d,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
d794b252-9ef9-469d-b040-d00ce6e7ff04,Howard,Berge,Howard_Berge29010,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,howard.berge@example.com,(526) 676-4971,1146da6d-1662-4896-b66b-2e472ae944cf,34ec8da8-c9cd-42a6-9a6e-b99b4c10503a,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
941bd242-4cb9-45a4-9dc1-a839e8b7f517,Colby,Jast,Colby_Jast28511,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,colby.jast@example.com,045-837-3903,1146da6d-1662-4896-b66b-2e472ae944cf,799f67e8-3d67-40f0-827a-4721c5c9634a,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
2b58c02f-b912-4419-b796-4a2c43721c9b,Tonisha,Corkery,Tonisha_Corkery97619,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,tonisha.corkery@example.com,(089) 180-9148,1146da6d-1662-4896-b66b-2e472ae944cf,25eddaea-6b44-4ebf-ab48-bf45e634dc94,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
3df35f87-7c6e-4209-ab2b-e5ca23e931ce,Phil,Effertz,Phil_Effertz51147,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,phil.effertz@example.com,1-532-792-0135,1146da6d-1662-4896-b66b-2e472ae944cf,970bd741-66ca-4fce-ba3a-0e8801f227ee,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
c1efa100-fd1f-4e67-8aae-e0f5effb18c3,Jerrold,Brakus,Jerrold_Brakus99386,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,jerrold.brakus@example.com,332-687-1133,1146da6d-1662-4896-b66b-2e472ae944cf,ac1da9e4-7e4b-42ab-b9a5-b87cc4f30c2c,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
ed6b172b-d498-4084-98f7-4826e49cc8d3,Denae,Stehr,Denae_Stehr63499,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,denae.stehr@example.com,786-449-1776,1146da6d-1662-4896-b66b-2e472ae944cf,0a0bf8cc-7343-4633-8f32-ab147d875cf4,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
7651a1be-7365-4a54-ae77-964d863a2011,Lean,Bruen,Lean_Bruen23156,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,lean.bruen@example.com,446.025.4410,1146da6d-1662-4896-b66b-2e472ae944cf,64452d14-0b6b-460a-b0e3-d7b8bcf86312,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
f6c315bc-1b0a-448f-b429-5bbb4a56e6d2,June,Ritchie,June_Ritchie44114,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,june.ritchie@example.com,898-369-1127,1146da6d-1662-4896-b66b-2e472ae944cf,4c7a2cc5-1e03-4337-8901-93c0b46585af,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
5709e85f-07e9-4303-be80-769cd98f6a61,Sherill,Nienow,Sherill_Nienow48003,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,sherill.nienow@example.com,066.488.6692,b8b0f19d-5254-40ff-869f-cf4573aa9dd8,34ec8da8-c9cd-42a6-9a6e-b99b4c10503a,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
8d140111-40e6-4590-b73b-07cf3b285f31,Herma,Mayert,Herma_Mayert59897,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,herma.mayert@example.com,808.564.1037,b8b0f19d-5254-40ff-869f-cf4573aa9dd8,78d3f0da-e4b5-4885-8c2a-24b1f85afe44,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
71148714-0adb-4f6a-ab63-c0bb1aa3df99,Len,Murazik,Len_Murazik29929,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,len.murazik@example.com,028.273.9812,b8b0f19d-5254-40ff-869f-cf4573aa9dd8,9b4b702d-41b6-4f60-8f7e-da621ae07a5c,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
e92bf393-0426-41fd-b2bd-10fd0f4e6436,Riley,McDermott,Riley_McDermott77923,$2a$12$pwnwU5hQ52IO2wwP3WOjOOKc8JgIPLQayTe4C956A165W2oyHGtMC,riley.mcdermott@example.com,(588) 721-6438,b8b0f19d-5254-40ff-869f-cf4573aa9dd8,379530ea-b648-41aa-899a-99e37ad8eb55,0,2025-05-10 00:00:00.000,2025-05-10 00:00:00.000,FALSE
